%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
238.0, -187500.02235174447, 16269.65597506237, -18188.463829572658, -30645.49334591548, 4075.5500287473237, 1650.2292931353204, -187500.02235174447, -7973.560151286144, 12973.488923727147, 10545.351868313774, -30951.488727508633, -17094.14477278528, 21060.618288590704, 16991.684376202153, 10197.312855400189, -11030.18355729384, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695678452853371E9, 0.0, 2023-09-25 16:47:32.853
240.0, -187500.02235174447, 16243.21386137174, -18183.300576603484, -30647.08031977181, 4052.5277319583574, 1653.1573716589658, -187500.02235174447, -7969.29096809518, 12928.338399927427, 10535.673562964626, -30974.04163766404, -17109.47806948162, 21035.561983056305, 16956.5027304295, 10185.846410494616, -11028.909507859888, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695678452853379E9, 0.0, 2023-09-25 16:47:32.853
242.0, -187500.02235174447, 16245.158463139353, -18186.563931293957, -30653.87525008622, 4084.289560829349, 1647.8376564786026, -187500.02235174447, -7975.683567009398, 12958.870882853376, 10526.241126804487, -30955.087358365938, -17092.893075095784, 21054.516262354406, 16992.69020470264, 10192.864858253582, -11034.810368396089, 0.113, 0.434, 0.244, 192.0, 3.5, 8.0, 13.5, 16.0, 7.5, 32.0, 0.0, 0.0, 0.0, 1.695678452853383E9, 0.0, 2023-09-25 16:47:32.853
244.0, -187500.02235174447, 16237.871794446923, -18185.200474882186, -30656.602162909767, 4060.060269839796, 1644.7307639993148, -187500.02235174447, -7976.15295364296, 12925.857356292887, 10506.772757383915, -30972.074684151972, -17117.05531085197, 21046.179061672578, 16951.71945711606, 10186.49461108382, -11035.212699796284, 0.113, 0.434, 0.244, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695678452853386E9, 0.0, 2023-09-25 16:47:32.853
246.0, -187500.02235174447, 16240.062265403541, -18194.49880057559, -30663.06181705735, 4089.028130653874, 1634.6054237610608, -187500.02235174447, -7982.2773316237135, 12957.842702608432, 10505.677521905603, -30958.574230500966, -17106.237066535603, 21062.182910702577, 16963.096495043814, 10185.82405875016, -11042.52172023317, 0.113, 0.434, 0.244, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695678452853389E9, 0.0, 2023-09-25 16:47:32.853
248.0, -187500.02235174447, 16249.561756797048, -18186.89920746079, -30648.64494188368, 4056.908673871598, 1640.0368976637005, -187500.02235174447, -7973.403689074957, 12944.163435001783, 10494.144021766666, -30972.253498107613, -17122.375026032332, 21052.281087908876, 16942.041151766916, 10176.995119690315, -11042.477016744258, 0.113, 0.434, 0.244, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695678452853392E9, 0.0, 2023-09-25 16:47:32.853
250.0, -187500.02235174447, 16244.554966039059, -18196.532809321023, -30655.50692743146, 4096.7171307465, 1643.0096796762562, -187500.02235174447, -7984.91483746944, 12974.494752227636, 10515.020551087922, -30951.64518971982, -17103.331339756412, 21052.39284663115, 16972.93126260415, 10187.008701206292, -11041.135912076941, 0.113, 0.434, 0.244, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695678452853396E9, 0.0, 2023-09-25 16:47:32.853
252.0, -187500.02235174447, 16240.330486337005, -18194.431745342226, -30653.718787875034, 4047.744458644922, 1641.0874296531, -187500.02235174447, -7985.719500269831, 12956.412190963292, 10504.805803871848, -30962.575192758468, -17117.47999399662, 21032.052759176822, 16965.443428211624, 10181.309006370187, -11037.738446919733, 0.1715, 0.652, 0.364, 192.0, 3.5, 24.0, 13.5, 24.0, 7.5, 16.0, 0.0, 0.0, 0.0, 1.695678452853399E9, 0.0, 2023-09-25 16:47:32.853
254.0, -187500.02235174447, 16241.001038670665, -18193.917655219753, -30661.65365715667, 4078.90279041562, 1634.9406999278904, -187500.02235174447, -7994.4366806074, 12963.788266633543, 10507.331550995297, -30953.388625787335, -17112.62966544982, 21043.854480249225, 16962.135370032236, 10178.447983079908, -11047.707324946801, 0.1715, 0.652, 0.364, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695678452853402E9, 0.0, 2023-09-25 16:47:32.853
0.0, -93750.01117587223, 7980.779764745208, -9229.258803040839, -15451.58212799813, 1877.9488656459887, 669.0771185251616, -93750.01117587223, -4166.8122013583425, 6489.896057831772, 5252.302319085875, -15476.213750387878, -8556.35953621382, 10522.821309902825, 8483.023462655958, 5087.994645594913, -5523.808958984489, 0.20375000000000001, 0.758, 0.424, 192.0, 3.5, 48.0, 13.5, 0.0, 7.5, 16.0, 0.0, 0.0, 0.0, 1.69567845299989E9, 0.0, 2023-09-25 16:47:32.999
